index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
946,163.142510,Series RC,-0.965813,,5.14877085501e-07,-3.091125,-107.351257,-44.942672,1000000,0.009022,10.000000,1,3.238495,0.029217,100.000000,27.706077,0,100000,0,-0.965813,50.000000
947,163.316565,Series RC,-1.029232,,5.42202199511e-07,-2.935343,-109.322402,147.715179,1000000,0.009003,10.000000,1,3.110556,0.028003,100.000000,-141.607223,0,100000,0,-1.029232,50.000000
948,163.490936,Series RC,-1.047682,,5.35108780527e-07,-2.974254,-109.404815,-33.621688,1000000,0.009003,10.000000,1,3.153383,0.028389,100.000000,36.973491,0,100000,0,-1.047682,50.000000
949,163.666567,Series RC,-1.012037,,5.46954652087e-07,-2.909838,-109.177597,-31.584247,1000000,0.009004,10.000000,1,3.080807,0.027739,100.000000,39.238143,0,100000,0,-1.012037,50.000000
950,163.840836,Series RC,-0.875081,,5.59945534426e-07,-2.842329,-107.112281,-126.399040,1000000,0.009048,10.000000,1,2.973987,0.026909,100.000000,-53.511325,0,100000,0,-0.875081,50.000000
951,164.016657,Series RC,-0.893438,,5.23731362593e-07,-3.038866,-106.383529,59.883007,1000000,0.009034,10.000000,1,3.167481,0.028616,100.000000,133.499465,0,100000,0,-0.893438,50.000000
952,164.190926,Series RC,-1.061879,,5.13309487438e-07,-3.100565,-108.905265,-111.510505,1000000,0.009006,10.000000,1,3.277361,0.029516,100.000000,-40.415752,0,100000,0,-1.061879,50.000000
953,164.366024,Series RC,-1.017081,,5.46197816278e-07,-2.913870,-109.241439,40.419303,1000000,0.009004,10.000000,1,3.086274,0.027788,100.000000,111.177864,0,100000,0,-1.017081,50.000000
954,164.540400,Series RC,-0.888082,,5.64542587826e-07,-2.819184,-107.485160,-163.361755,1000000,0.009050,10.000000,1,2.955755,0.026751,100.000000,-90.846916,0,100000,0,-0.888082,50.000000
955,164.715691,Series RC,-0.984160,,5.56996460013e-07,-2.857378,-109.005111,-65.555809,1000000,0.009011,10.000000,1,3.022115,0.027232,100.000000,5.439064,0,100000,0,-0.984160,50.000000
