index,elapsed_s,model,series_r,series_l,series_c,current_pga,current_amplitude_a,dds_frequency_hz,samples_per_period,voltage_phase_deg,phase_diff_deg,shunt_range,current_phase_deg,impedance_real_ohm,impedance_imag_ohm,sample_rate_hz,impedance_mag_ohm,voltage_pga,captured_cycles,voltage_amplitude_v,shunt_resistance_ohm
70,3.965454,Series RL,0.591085,0.000109974859282,,0,0.007846,50000,20.000000,56.553428,89.019859,0,147.533569,0.591085,34.549621,1000000,34.554676,0,20.000000,0.271132,100.000000
71,4.019683,Series RL,0.574961,0.000109990147706,,0,0.007849,50000,20.000000,-33.437450,89.046722,0,57.515827,0.574961,34.554424,1000000,34.559207,0,20.000000,0.271254,100.000000
72,4.075075,Series RL,0.687805,0.000109523823723,,0,0.007849,50000,20.000000,-29.837535,88.854820,0,61.307640,0.687805,34.407924,1000000,34.414798,0,20.000000,0.270117,100.000000
73,4.130025,Series RL,0.588207,0.000108346007116,,0,0.007852,50000,20.000000,45.613475,89.009971,0,136.603500,0.588207,34.037902,1000000,34.042984,0,20.000000,0.267299,100.000000
74,4.183944,Series RL,0.727067,0.000109130211267,,0,0.007851,50000,20.000000,25.323881,88.785102,0,116.538772,0.727067,34.284267,1000000,34.291976,0,20.000000,0.269213,100.000000
75,4.238507,Series RL,0.318623,0.000108345255904,,0,0.007849,50000,20.000000,-110.763412,89.463668,0,-20.227090,0.318623,34.037666,1000000,34.039157,0,20.000000,0.267188,100.000000
76,4.291646,Series RL,0.374917,0.000108091744362,,0,0.007852,50000,20.000000,-78.720367,89.367439,0,11.912190,0.374917,33.958023,1000000,33.960090,0,20.000000,0.266671,100.000000
77,4.344685,Series RL,0.371947,0.000108461582252,,0,0.007849,50000,20.000000,-128.673797,89.374588,0,-38.048389,0.371947,34.074211,1000000,34.076240,0,20.000000,0.267476,100.000000
78,4.397538,Series RL,0.551754,0.000109872401696,,0,0.007846,50000,20.000000,164.116226,89.084220,0,-104.967987,0.551754,34.517433,1000000,34.521842,0,20.000000,0.270849,100.000000
79,4.450362,Series RL,0.379626,0.000108294924745,,0,0.007855,50000,20.000000,-57.185745,89.360702,0,33.453552,0.379626,34.021854,1000000,34.023971,0,20.000000,0.267248,100.000000
80,4.501990,Series RL,0.583128,0.000109932689588,,0,0.007850,50000,20.000000,-177.626113,89.032684,0,-86.658798,0.583128,34.536373,1000000,34.541297,0,20.000000,0.271138,100.000000
81,4.555120,Series RL,0.695055,0.000109510843045,,0,0.007853,50000,20.000000,-29.498800,88.842620,0,61.658580,0.695055,34.403846,1000000,34.410865,0,20.000000,0.270217,100.000000
82,4.607711,Series RL,0.678252,0.000108870992428,,0,0.007852,50000,20.000000,8.065790,88.863952,0,99.201835,0.678252,34.202831,1000000,34.209556,0,20.000000,0.268616,100.000000
83,4.664411,Series RL,0.671143,0.000109537558794,,0,0.007851,50000,20.000000,42.267436,88.882698,0,133.384735,0.671143,34.412239,1000000,34.418781,0,20.000000,0.270229,100.000000
84,4.718740,Series RL,0.365668,0.000108360919934,,0,0.007852,50000,20.000000,-2.857093,89.384574,0,87.758331,0.365668,34.042587,1000000,34.044548,0,20.000000,0.267311,100.000000
85,4.771783,Series RL,0.463589,0.000109357252159,,0,0.007849,50000,20.000000,0.019025,89.226905,0,90.792121,0.463589,34.355594,1000000,34.358722,0,20.000000,0.269678,100.000000
86,4.825276,Series RL,0.682989,0.000109768715434,,0,0.007853,50000,20.000000,-138.565383,88.865379,0,-47.430759,0.682989,34.484859,1000000,34.491622,0,20.000000,0.270879,100.000000
87,4.882810,Series RL,0.409461,0.000109033008977,,0,0.007852,50000,20.000000,160.866867,89.315132,0,-108.448272,0.409461,34.253730,1000000,34.256175,0,20.000000,0.268963,100.000000
88,4.937228,Series RL,0.330115,0.000108042237625,,0,0.007851,50000,20.000000,120.331169,89.442771,0,-149.111602,0.330115,33.942470,1000000,33.944076,0,20.000000,0.266481,100.000000
89,4.990089,Series RL,0.617212,0.000108303277196,,0,0.007853,50000,20.000000,-152.109558,88.960754,0,-61.070304,0.617212,34.024478,1000000,34.030078,0,20.000000,0.267232,100.000000
90,5.042477,Series RL,0.371847,0.000108667420523,,0,0.007853,50000,20.000000,52.104290,89.375953,0,142.728347,0.371847,34.138877,1000000,34.140903,0,20.000000,0.268107,100.000000
91,5.115185,Series RL,0.459975,0.000109509070059,,0,0.007851,50000,20.000000,-161.658584,89.234001,0,-70.892570,0.459975,34.403289,1000000,34.406364,0,20.000000,0.270119,100.000000
92,5.204453,Series RL,0.690786,0.000109676564721,,0,0.007852,50000,20.000000,-102.033798,88.851463,0,-10.885260,0.690786,34.455909,1000000,34.462833,0,20.000000,0.270619,100.000000
93,5.265529,Series RL,0.335239,0.000107993144691,,0,0.007850,50000,20.000000,-41.182670,89.433868,0,49.383464,0.335239,33.927047,1000000,33.928703,0,20.000000,0.266336,100.000000
94,5.322959,Series RL,0.356967,0.000108396847571,,0,0.007850,50000,20.000000,-20.756353,89.399421,0,69.844230,0.356967,34.053874,1000000,34.055744,0,20.000000,0.267321,100.000000
95,5.378164,Series RL,0.555215,0.000109965376831,,0,0.007849,50000,20.000000,-123.617324,89.079254,0,-32.696571,0.555215,34.546642,1000000,34.551101,0,20.000000,0.271193,100.000000
96,5.434478,Series RL,0.520324,0.000109822665776,,0,0.007848,50000,20.000000,55.470169,89.135986,0,146.334197,0.520324,34.501808,1000000,34.505729,0,20.000000,0.270818,100.000000
97,5.486926,Series RL,0.701260,0.000109380482415,,0,0.007853,50000,20.000000,96.908287,88.830894,0,-171.922622,0.701260,34.362892,1000000,34.370048,0,20.000000,0.269903,100.000000
98,5.539845,Series RL,0.700741,0.000109174446792,,0,0.007852,50000,20.000000,79.085502,88.829551,0,170.255935,0.700741,34.298164,1000000,34.305324,0,20.000000,0.269363,100.000000
99,5.597046,Series RL,0.395806,0.000108076564163,,0,0.007853,50000,20.000000,-24.728990,89.332107,0,65.938896,0.395806,33.953254,1000000,33.955562,0,20.000000,0.266649,100.000000
100,5.653482,Series RL,0.661689,0.000108674948552,,0,0.007852,50000,20.000000,-63.485790,88.889694,0,27.624511,0.661689,34.141242,1000000,34.147655,0,20.000000,0.268117,100.000000
