index,elapsed_s,model,series_r,series_l,series_c,current_pga,voltage_phase_deg,impedance_imag_ohm,dds_frequency_hz,voltage_pga,captured_cycles,voltage_amplitude_v,sample_rate_hz,shunt_range,impedance_real_ohm,shunt_resistance_ohm,current_phase_deg,current_amplitude_a,samples_per_period,phase_diff_deg,impedance_mag_ohm
58,6.672644,Series RL,0.581934,0.000109975562747,,0,128.865936,34.549842,50000,0,20.000000,0.271232,1000000,0,0.581934,100.000000,-140.169082,0.007849,20.000000,89.035034,34.554744
59,6.786408,Series RL,0.655169,0.00010987637102,,0,3.474338,34.518680,50000,0,20.000000,0.271043,1000000,0,0.655169,100.000000,94.561683,0.007851,20.000000,88.912651,34.524898
60,6.899787,Series RL,0.419326,0.000109176121102,,0,-0.659367,34.298690,50000,0,20.000000,0.269262,1000000,0,0.419326,100.000000,90.041084,0.007850,20.000000,89.299552,34.301254
61,7.013709,Series RL,0.596824,0.000110025104498,,0,-87.152679,34.565406,50000,0,20.000000,0.271316,1000000,0,0.596824,100.000000,3.836526,0.007848,20.000000,89.010795,34.570560
62,7.131672,Series RL,0.693306,0.000109693651596,,0,113.650146,34.461277,50000,0,20.000000,0.270649,1000000,0,0.693306,100.000000,-155.197326,0.007852,20.000000,88.847457,34.468250
63,7.247327,Series RL,0.417684,0.000108862079751,,0,-55.451129,34.200031,50000,0,20.000000,0.268431,1000000,0,0.417684,100.000000,35.248592,0.007848,20.000000,89.300277,34.202579
64,7.364011,Series RL,0.316307,0.000108114048335,,0,-22.053199,33.965030,50000,0,20.000000,0.266538,1000000,0,0.316307,100.000000,68.480369,0.007847,20.000000,89.466438,33.966503
65,7.476331,Series RL,0.455097,0.000108201061526,,0,-115.262542,33.992366,50000,0,20.000000,0.266840,1000000,0,0.455097,100.000000,-24.495492,0.007849,20.000000,89.232955,33.995414
66,7.590604,Series RL,0.669530,0.000108715784527,,0,134.468719,34.154071,50000,0,20.000000,0.268311,1000000,0,0.669530,100.000000,-134.408233,0.007854,20.000000,88.876960,34.160633
67,7.704158,Series RL,0.378222,0.000108310089028,,0,-111.074844,34.026618,50000,0,20.000000,0.267173,1000000,0,0.378222,100.000000,-20.437999,0.007851,20.000000,89.363159,34.028720
68,7.817708,Series RL,0.428320,0.000109486024424,,0,144.510498,34.396049,50000,0,20.000000,0.269987,1000000,0,0.428320,100.000000,-124.776031,0.007849,20.000000,89.286552,34.398715
69,7.933256,Series RL,0.623519,0.000108497099269,,0,-26.860708,34.085369,50000,0,20.000000,0.267744,1000000,0,0.623519,100.000000,64.187278,0.007854,20.000000,88.952011,34.091072
70,8.047868,Series RL,0.363329,0.000108331679988,,0,158.993148,34.033401,50000,0,20.000000,0.267285,1000000,0,0.363329,100.000000,-110.395164,0.007853,20.000000,89.388343,34.035339
71,8.161132,Series RL,0.338720,0.000108094669629,,0,-75.732635,33.958942,50000,0,20.000000,0.266596,1000000,0,0.338720,100.000000,14.838839,0.007850,20.000000,89.428520,33.960632
72,8.280163,Series RL,0.473116,0.000109618088012,,0,90.847389,34.437538,50000,0,20.000000,0.270368,1000000,0,0.473116,100.000000,-178.365509,0.007850,20.000000,89.212898,34.440788
73,8.395813,Series RL,0.613162,0.000110021329342,,0,-159.234970,34.564220,50000,0,20.000000,0.271406,1000000,0,0.613162,100.000000,-68.218658,0.007851,20.000000,88.983688,34.569660
74,8.509243,Series RL,0.324736,0.000108137580985,,0,122.169403,33.972423,50000,0,20.000000,0.266692,1000000,0,0.324736,100.000000,-147.282928,0.007850,20.000000,89.452331,33.973976
75,8.622825,Series RL,0.323163,0.000108425371319,,0,105.071166,34.062835,50000,0,20.000000,0.267512,1000000,0,0.323163,100.000000,-164.385253,0.007853,20.000000,89.456428,34.064369
76,8.736675,Series RL,0.501123,0.000109822178762,,0,-160.550140,34.501655,50000,0,20.000000,0.270845,1000000,0,0.501123,100.000000,-69.718009,0.007849,20.000000,89.167854,34.505294
77,8.854136,Series RL,0.682014,0.000109050605147,,0,-82.338279,34.259258,50000,0,20.000000,0.268992,1000000,0,0.682014,100.000000,8.802189,0.007850,20.000000,88.859535,34.266044
78,8.968554,Series RL,0.646271,0.000109995221565,,0,-32.690990,34.556018,50000,0,20.000000,0.271338,1000000,0,0.646271,100.000000,58.380439,0.007851,20.000000,88.928573,34.562061
79,9.081617,Series RL,0.458252,0.000109298784999,,0,-18.044691,34.337226,50000,0,20.000000,0.269499,1000000,0,0.458252,100.000000,72.719917,0.007848,20.000000,89.235397,34.340282
80,9.198171,Series RL,0.659612,0.000109946736604,,0,57.763343,34.540786,50000,0,20.000000,0.271329,1000000,0,0.659612,100.000000,148.857376,0.007854,20.000000,88.905975,34.547084
81,9.312231,Series RL,0.319609,0.000108050153992,,0,85.178863,33.944957,50000,0,20.000000,0.266519,1000000,0,0.319609,100.000000,175.718322,0.007851,20.000000,89.460540,33.946460
