index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
44,3.561581,Series RC,1.653808,,4.51921748813e-07,-352.173675,-89.730941,125.661155,25000,0.002226,25.000000,0,352.177551,0.783943,100.000000,-144.069778,1,1000,0,1.653808,20.000000
45,3.634404,Series RC,1.343200,,4.52210002234e-07,-351.949188,-89.781326,-94.271896,25000,0.002228,25.000000,0,351.951751,0.784087,100.000000,-4.053242,1,1000,0,1.343200,20.000000
46,3.724738,Series RC,1.210452,,4.51739370742e-07,-352.315856,-89.803146,160.350341,25000,0.002227,25.000000,0,352.317932,0.784499,100.000000,-109.452796,1,1000,0,1.210452,20.000000
47,3.797335,Series RC,1.245020,,4.5221113935e-07,-351.948303,-89.797317,-79.350654,25000,0.002228,25.000000,0,351.950500,0.783979,100.000000,10.852032,1,1000,0,1.245020,20.000000
48,3.884795,Series RC,2.156781,,4.51568008203e-07,-352.449554,-89.649383,142.008728,25000,0.002225,25.000000,0,352.456146,0.784285,100.000000,-127.640655,1,1000,0,2.156781,20.000000
49,3.958206,Series RC,1.380916,,4.52059677113e-07,-352.066223,-89.775268,-48.897018,25000,0.002226,25.000000,0,352.068939,0.783871,100.000000,41.327705,1,1000,0,1.380916,20.000000
50,4.044105,Series RC,1.293661,,4.52015559962e-07,-352.100585,-89.789489,91.107383,25000,0.002227,25.000000,0,352.102966,0.784212,100.000000,-178.682098,1,1000,0,1.293661,20.000000
51,4.116784,Series RC,1.666091,,4.51847080698e-07,-352.231872,-89.728988,68.057991,25000,0.002226,25.000000,0,352.235809,0.784234,100.000000,158.329010,1,1000,0,1.666091,20.000000
52,4.207659,Series RC,1.141301,,4.52146019475e-07,-351.998992,-89.814231,-64.284255,25000,0.002228,25.000000,0,352.000854,0.784143,100.000000,25.901498,1,1000,0,1.141301,20.000000
53,4.280800,Series RC,1.691831,,4.51790871045e-07,-352.275695,-89.724830,-103.709602,25000,0.002226,25.000000,0,352.279754,0.784332,100.000000,-13.434430,1,1000,0,1.691831,20.000000
54,4.361040,Series RC,1.508272,,4.51928641176e-07,-352.168304,-89.754615,-61.889381,25000,0.002227,25.000000,0,352.171539,0.784287,100.000000,28.355993,1,1000,0,1.508272,20.000000
55,4.444147,Series RC,1.384846,,4.52092203652e-07,-352.040893,-89.774612,32.647304,25000,0.002228,25.000000,0,352.043609,0.784436,100.000000,122.872695,1,1000,0,1.384846,20.000000
56,4.516884,Series RC,1.975724,,4.51656000822e-07,-352.380889,-89.678756,98.054817,25000,0.002227,25.000000,0,352.386444,0.784750,100.000000,-171.623931,1,1000,0,1.975724,20.000000
57,4.604332,Series RC,1.429294,,4.51838468066e-07,-352.238586,-89.767501,-28.061138,25000,0.002227,25.000000,0,352.241485,0.784513,100.000000,62.171348,1,1000,0,1.429294,20.000000
58,4.677962,Series RC,1.452396,,4.52045101401e-07,-352.077575,-89.763641,136.213317,25000,0.002227,25.000000,0,352.080566,0.784235,100.000000,-133.550338,1,1000,0,1.452396,20.000000
59,4.761494,Series RC,1.506002,,4.5195456866e-07,-352.148101,-89.754966,0.951346,25000,0.002228,25.000000,0,352.151336,0.784488,100.000000,91.196380,1,1000,0,1.506002,20.000000
60,4.834399,Series RC,1.376842,,4.51964085433e-07,-352.140686,-89.775978,-177.224456,25000,0.002227,25.000000,0,352.143371,0.784279,100.000000,-87.000457,1,1000,0,1.376842,20.000000
61,4.925316,Series RC,1.318744,,4.51935064056e-07,-352.163299,-89.785446,146.858047,25000,0.002227,25.000000,0,352.165771,0.784409,100.000000,-122.927391,1,1000,0,1.318744,20.000000
62,5.000793,Series RC,1.286160,,4.51878126868e-07,-352.207672,-89.790771,124.744285,25000,0.002227,25.000000,0,352.210021,0.784282,100.000000,-145.046493,1,1000,0,1.286160,20.000000
63,5.073653,Series RC,1.570537,,4.5189096994e-07,-352.197662,-89.744499,-43.200515,25000,0.002227,25.000000,0,352.201171,0.784388,100.000000,47.054988,1,1000,0,1.570537,20.000000
64,5.163945,Series RC,1.298113,,4.5213128021e-07,-352.010467,-89.788711,-121.290771,25000,0.002228,25.000000,0,352.012847,0.784306,100.000000,-31.079479,1,1000,0,1.298113,20.000000
65,5.236479,Series RC,2.176280,,4.51793884922e-07,-352.273345,-89.646041,-16.413152,25000,0.002227,25.000000,0,352.280059,0.784391,100.000000,73.940795,1,1000,0,2.176280,20.000000
66,5.326323,Series RC,1.469592,,4.51764923868e-07,-352.295928,-89.760993,177.608032,25000,0.002227,25.000000,0,352.298980,0.784442,100.000000,-92.152961,1,1000,0,1.469592,20.000000
67,5.405448,Series RC,1.606665,,4.5176719363e-07,-352.294158,-89.738700,128.856735,25000,0.002227,25.000000,0,352.297821,0.784557,100.000000,-140.881988,1,1000,0,1.606665,20.000000
68,5.486265,Series RC,1.421981,,4.51733775291e-07,-352.320220,-89.768745,176.206512,25000,0.002226,25.000000,0,352.323089,0.784438,100.000000,-93.562240,1,1000,0,1.421981,20.000000
69,5.568210,Series RC,1.374011,,4.51818504032e-07,-352.254150,-89.776512,102.641227,25000,0.002227,25.000000,0,352.256835,0.784451,100.000000,-167.135253,1,1000,0,1.374011,20.000000
70,5.643792,Series RC,1.915891,,4.51797759416e-07,-352.270324,-89.688385,84.729187,25000,0.002227,25.000000,0,352.275543,0.784347,100.000000,175.040786,1,1000,0,1.915891,20.000000
