index,elapsed_s,model,series_r,series_l,series_c,voltage_phase_deg,impedance_mag_ohm,current_phase_deg,sample_rate_hz,shunt_resistance_ohm,shunt_range,captured_cycles,voltage_amplitude_v,phase_diff_deg,current_pga,voltage_pga,samples_per_period,impedance_real_ohm,impedance_imag_ohm,current_amplitude_a,dds_frequency_hz
212,12.275019,Series RL,0.300063,0.000110911753502,,42.166576,6.975248,134.632110,250000,100.000000,0,20.000000,0.108214,87.534469,0,1,25.000000,0.300063,6.968791,0.015514,10000
213,12.331780,Series RL,0.323112,0.000110933255335,,34.533931,6.977627,127.188064,250000,100.000000,0,20.000000,0.108226,87.345863,0,1,25.000000,0.323112,6.970142,0.015510,10000
214,12.388328,Series RL,0.291611,0.000110867603921,,-113.976501,6.972118,-21.579387,250000,100.000000,0,20.000000,0.108183,87.602882,0,1,25.000000,0.291611,6.966017,0.015516,10000
215,12.446900,Series RL,0.270710,0.000110793771943,,81.850189,6.966639,174.077148,250000,100.000000,0,20.000000,0.108064,87.773025,0,1,25.000000,0.270710,6.961378,0.015512,10000
216,12.505952,Series RL,0.279778,0.000111156358734,,10.789946,6.989762,103.083930,250000,100.000000,0,20.000000,0.108431,87.706008,0,1,25.000000,0.279778,6.984160,0.015513,10000
217,12.563444,Series RL,0.297583,0.000111124320844,,177.130905,6.988486,-90.428596,250000,100.000000,0,20.000000,0.108451,87.559501,0,1,25.000000,0.297583,6.982147,0.015519,10000
218,12.622747,Series RL,0.266238,0.000111164189158,,154.838348,6.989724,-112.978729,250000,100.000000,0,20.000000,0.108446,87.817077,0,1,25.000000,0.266238,6.984652,0.015515,10000
219,12.681597,Series RL,0.290679,0.000110339495989,,152.426040,6.938926,-115.173049,250000,100.000000,0,20.000000,0.107672,87.599113,0,1,25.000000,0.290679,6.932835,0.015517,10000
220,12.739002,Series RL,0.293897,0.00011076679518,,-27.656349,6.965886,64.761726,250000,100.000000,0,20.000000,0.108067,87.581924,0,1,25.000000,0.293897,6.959683,0.015514,10000
221,12.796984,Series RL,0.293223,0.0001109984452,,-55.773899,6.980399,36.633617,250000,100.000000,0,20.000000,0.108302,87.592491,0,1,25.000000,0.293223,6.974238,0.015515,10000
222,12.852524,Series RL,0.293839,0.000110881720965,,-70.453186,6.973097,21.961912,250000,100.000000,0,20.000000,0.108171,87.584899,0,1,25.000000,0.293839,6.966904,0.015513,10000
223,12.909940,Series RL,0.248985,0.000110941197167,,-134.017776,6.975086,-41.972099,250000,100.000000,0,20.000000,0.108250,87.954307,0,1,25.000000,0.248985,6.970641,0.015519,10000
224,12.968433,Series RL,0.299110,0.000110685928554,,87.279403,6.961031,179.742111,250000,100.000000,0,20.000000,0.108004,87.537284,0,1,25.000000,0.299110,6.954602,0.015516,10000
225,13.025194,Series RL,0.315157,0.000110598027279,,92.145805,6.956221,-175.257492,250000,100.000000,0,20.000000,0.107926,87.403282,0,1,25.000000,0.315157,6.949079,0.015515,10000
226,13.082058,Series RL,0.272193,0.0001113299172,,-88.653633,7.000359,3.574747,250000,100.000000,0,20.000000,0.108626,87.771629,0,1,25.000000,0.272193,6.995065,0.015517,10000
227,13.141297,Series RL,0.261349,0.000111369626358,,-147.819046,7.002438,-55.680126,250000,100.000000,0,20.000000,0.108673,87.861076,0,1,25.000000,0.261349,6.997560,0.015519,10000
228,13.198387,Series RL,0.289811,0.000111200715217,,-58.776935,6.992955,33.598266,250000,100.000000,0,20.000000,0.108502,87.624801,0,1,25.000000,0.289811,6.986947,0.015516,10000
229,13.256025,Series RL,0.302125,0.000110459864873,,-78.595207,6.946970,13.897380,250000,100.000000,0,20.000000,0.107796,87.507415,0,1,25.000000,0.302125,6.940398,0.015517,10000
230,13.312993,Series RL,0.294725,0.000110783983914,,28.917243,6.967000,121.341751,250000,100.000000,0,20.000000,0.108084,87.575492,0,1,25.000000,0.294725,6.960763,0.015514,10000
231,13.369719,Series RL,0.285949,0.000111147796199,,-69.451484,6.989473,22.893222,250000,100.000000,0,20.000000,0.108445,87.655288,0,1,25.000000,0.285949,6.983622,0.015515,10000
232,13.426841,Series RL,0.321167,0.00011119113409,,47.884582,6.993724,140.516662,250000,100.000000,0,20.000000,0.108494,87.367919,0,1,25.000000,0.321167,6.986345,0.015513,10000
233,13.485425,Series RL,0.286173,0.000110897907022,,113.531326,6.973795,-154.116836,250000,100.000000,0,20.000000,0.108195,87.648178,0,1,25.000000,0.286173,6.967921,0.015514,10000
234,13.541953,Series RL,0.302028,0.000110686246864,,74.360961,6.961177,166.847671,250000,100.000000,0,20.000000,0.107993,87.513298,0,1,25.000000,0.302028,6.954622,0.015514,10000
235,13.603746,Series RL,0.305368,0.000110289521337,,-165.226730,6.936420,-72.703521,250000,100.000000,0,20.000000,0.107632,87.476799,0,1,25.000000,0.305368,6.929695,0.015517,10000
236,13.662415,Series RL,0.281147,0.000110992524636,,171.470031,6.979531,-96.221374,250000,100.000000,0,20.000000,0.108308,87.691398,0,1,25.000000,0.281147,6.973866,0.015518,10000
237,13.718830,Series RL,0.295106,0.000110754778982,,71.311836,6.965182,163.740127,250000,100.000000,0,20.000000,0.108080,87.571723,0,1,25.000000,0.295106,6.958928,0.015517,10000
238,13.775492,Series RL,0.307466,0.000110666766299,,102.488059,6.960192,-164.980056,250000,100.000000,0,20.000000,0.107977,87.468139,0,1,25.000000,0.307466,6.953398,0.015514,10000
