index,elapsed_s,model,series_r,series_l,series_c,current_phase_deg,voltage_phase_deg,samples_per_period,current_amplitude_a,shunt_resistance_ohm,current_pga,phase_diff_deg,dds_frequency_hz,shunt_range,voltage_pga,impedance_mag_ohm,impedance_imag_ohm,captured_cycles,voltage_amplitude_v,impedance_real_ohm,sample_rate_hz
414,22.918939,Series RL,0.443818,0.000108137106703,,-42.342586,-133.091064,20.000000,0.007853,100.000000,0,89.251525,50000,0,0,33.975173,33.972274,20.000000,0.266806,0.443818,1000000
415,22.973177,Series RL,0.302035,0.00010802633168,,-147.574478,121.915596,20.000000,0.007851,100.000000,0,89.490089,50000,0,0,33.938816,33.937473,20.000000,0.266463,0.302035,1000000
416,23.028568,Series RL,0.474741,0.000108184366172,,-114.465110,154.734634,20.000000,0.007851,100.000000,0,89.199729,50000,0,0,33.990436,33.987121,20.000000,0.266858,0.474741,1000000
417,23.085466,Series RL,0.534074,0.000109960955506,,-158.655517,110.458740,20.000000,0.007849,100.000000,0,89.114265,50000,0,0,34.549381,34.545253,20.000000,0.271170,0.534074,1000000
418,23.139409,Series RL,0.584530,0.000109971883085,,57.330215,-33.639083,20.000000,0.007848,100.000000,0,89.030700,50000,0,0,34.553630,34.548686,20.000000,0.271173,0.584530,1000000
419,23.194145,Series RL,0.366170,0.000108664154664,,-145.226150,124.159271,20.000000,0.007851,100.000000,0,89.385452,50000,0,0,34.139816,34.137851,20.000000,0.268018,0.366170,1000000
420,23.246978,Series RL,0.361302,0.000108463558957,,-145.844253,123.548263,20.000000,0.007852,100.000000,0,89.392501,50000,0,0,34.076747,34.074832,20.000000,0.267586,0.361302,1000000
421,23.302211,Series RL,0.669600,0.000108965909253,,134.895599,43.775020,20.000000,0.007851,100.000000,0,88.879417,50000,0,0,34.239200,34.232650,20.000000,0.268820,0.669600,1000000
422,23.354891,Series RL,0.583252,0.000108290430209,,100.760269,9.778072,20.000000,0.007851,100.000000,0,89.017799,50000,0,0,34.025444,34.020442,20.000000,0.267142,0.583252,1000000
423,23.408424,Series RL,0.652069,0.000109955502858,,131.624404,40.542961,20.000000,0.007854,100.000000,0,88.918571,50000,0,0,34.549694,34.543540,20.000000,0.271339,0.652069,1000000
424,23.462875,Series RL,0.696109,0.000109505622763,,43.482334,-47.676856,20.000000,0.007852,100.000000,0,88.840805,50000,0,0,34.409248,34.402206,20.000000,0.270167,0.696109,1000000
425,23.516217,Series RL,0.704619,0.000109598295504,,43.287296,-47.885066,20.000000,0.007851,100.000000,0,88.827629,50000,0,0,34.438529,34.431320,20.000000,0.270372,0.704619,1000000
426,23.574701,Series RL,0.647887,0.000108355018468,,-151.647750,117.261856,20.000000,0.007853,100.000000,0,88.909637,50000,0,0,34.046897,34.040733,20.000000,0.267354,0.647887,1000000
427,23.628336,Series RL,0.549207,0.000109863632259,,-176.417221,92.671142,20.000000,0.007848,100.000000,0,89.088363,50000,0,0,34.519046,34.514678,20.000000,0.270907,0.549207,1000000
428,23.682877,Series RL,0.370064,0.000108069656839,,66.227821,-24.396675,20.000000,0.007853,100.000000,0,89.375503,50000,0,0,33.953102,33.951084,20.000000,0.266618,0.370064,1000000
429,23.735866,Series RL,0.684478,0.000109679165313,,-28.983425,-120.121452,20.000000,0.007854,100.000000,0,88.861968,50000,0,0,34.463523,34.456726,20.000000,0.270663,0.684478,1000000
430,23.791512,Series RL,0.477370,0.000108207946569,,-60.645759,-151.450286,20.000000,0.007853,100.000000,0,89.195472,50000,0,0,33.997882,33.994529,20.000000,0.266990,0.477370,1000000
431,23.845049,Series RL,0.401146,0.000108755054418,,88.894554,-1.778120,20.000000,0.007852,100.000000,0,89.327323,50000,0,0,34.168762,34.166408,20.000000,0.268307,0.401146,1000000
