index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
733,43.884340,Series RL,0.318958,0.000111001294073,,6.974417,87.381538,69.041343,250000,0.013037,25.000000,1,6.981707,0.091019,100.000000,-23.577112,0,10000,0,0.318958,20.000000
734,43.963886,Series RL,0.281689,0.000110546365584,,6.945833,87.677635,-167.928237,250000,0.013037,25.000000,1,6.951543,0.090629,100.000000,99.749374,0,10000,0,0.281689,20.000000
735,44.020893,Series RL,0.260998,0.00011059162925,,6.948677,87.848930,-109.126083,250000,0.013040,25.000000,1,6.953577,0.090676,100.000000,158.722824,0,10000,0,0.260998,20.000000
736,44.084146,Series RL,0.305151,0.000110575904742,,6.947689,87.485107,-1.374738,250000,0.013036,25.000000,1,6.954387,0.090659,100.000000,-93.889633,0,10000,0,0.305151,20.000000
737,44.164359,Series RL,0.267213,0.000110785925604,,6.960885,87.801612,-154.520339,250000,0.013040,25.000000,1,6.966012,0.090833,100.000000,113.281295,0,10000,0,0.267213,20.000000
738,44.221686,Series RL,0.307185,0.000110161290199,,6.921638,87.458854,157.699172,250000,0.013037,25.000000,1,6.928451,0.090328,100.000000,65.158027,0,10000,0,0.307185,20.000000
739,44.283254,Series RL,0.290970,0.000110867444766,,6.966007,87.608139,108.818847,250000,0.013034,25.000000,1,6.972081,0.090874,100.000000,16.426996,0,10000,0,0.290970,20.000000
740,44.351383,Series RL,0.271407,0.000110831491665,,6.963748,87.768058,-112.583869,250000,0.013041,25.000000,1,6.969036,0.090881,100.000000,155.184173,0,10000,0,0.271407,20.000000
741,44.427943,Series RL,0.269279,0.000110931616039,,6.970039,87.787551,-67.554573,250000,0.013038,25.000000,1,6.975239,0.090942,100.000000,-159.767028,0,10000,0,0.269279,20.000000
742,44.484651,Series RL,0.284158,0.000110463350366,,6.940617,87.655540,135.140335,250000,0.013033,25.000000,1,6.946432,0.090534,100.000000,42.795879,0,10000,0,0.284158,20.000000
743,44.542520,Series RL,0.289452,0.000110792435042,,6.961294,87.619003,122.578193,250000,0.013036,25.000000,1,6.967309,0.090823,100.000000,30.197195,0,10000,0,0.289452,20.000000
744,44.602274,Series RL,0.302097,0.000111110792674,,6.981297,87.522216,39.774257,250000,0.013037,25.000000,1,6.987831,0.091098,100.000000,-52.703525,0,10000,0,0.302097,20.000000
745,44.656915,Series RL,0.297502,0.00011047506417,,6.941353,87.545837,-102.664115,250000,0.013039,25.000000,1,6.947725,0.090592,100.000000,164.881744,0,10000,0,0.297502,20.000000
746,44.711471,Series RL,0.283003,0.000110549723753,,6.946044,87.666877,135.128723,250000,0.013035,25.000000,1,6.951807,0.090615,100.000000,42.795616,0,10000,0,0.283003,20.000000
747,44.766489,Series RL,0.266892,0.000110892559416,,6.967585,87.806365,-63.744213,250000,0.013038,25.000000,1,6.972694,0.090913,100.000000,-155.937835,0,10000,0,0.266892,20.000000
