index,elapsed_s,model,series_r,series_l,series_c,current_pga,impedance_mag_ohm,voltage_phase_deg,impedance_real_ohm,sample_rate_hz,voltage_amplitude_v,current_amplitude_a,dds_frequency_hz,current_phase_deg,voltage_pga,shunt_resistance_ohm,samples_per_period,captured_cycles,phase_diff_deg,impedance_imag_ohm,shunt_range
75,7.143722,Series RC,0.145247,,4.52236032047e-07,1,1173.096435,-32.251731,0.145247,7500,0.604552,0.000515,300,-122.258827,1,1000.000000,25.000000,16.000000,-89.992897,-1173.096435,1
76,7.237316,Series RC,-0.021736,,4.52043314041e-07,1,1173.596557,-147.032958,-0.021736,7500,0.604645,0.000515,300,122.968093,1,1000.000000,25.000000,16.000000,-90.001060,-1173.596557,1
77,7.333031,Series RC,0.393992,,4.52118603412e-07,1,1173.401245,-123.428794,0.393992,7500,0.604581,0.000515,300,146.551971,1,1000.000000,25.000000,16.000000,-89.980758,-1173.401123,1
78,7.428264,Series RC,0.150855,,4.52192318705e-07,1,1173.209838,141.987258,0.150855,7500,0.604606,0.000515,300,51.979888,1,1000.000000,25.000000,16.000000,-89.992630,-1173.209838,1
79,7.521578,Series RC,0.604330,,4.51940601227e-07,1,1173.863403,-21.529453,0.604330,7500,0.604375,0.000515,300,-111.558944,1,1000.000000,25.000000,16.000000,-89.970497,-1173.863281,1
80,7.617546,Series RC,1.538639,,4.52075618128e-07,1,1173.513671,-24.043937,1.538639,7500,0.604528,0.000515,300,-114.119056,1,1000.000000,25.000000,16.000000,-89.924873,-1173.512695,1
81,7.713553,Series RC,0.324198,,4.51914472215e-07,1,1173.931274,-99.140098,0.324198,7500,0.604530,0.000515,300,170.844085,1,1000.000000,25.000000,16.000000,-89.984176,-1173.931152,1
82,7.807396,Series RC,0.916249,,4.52008099595e-07,1,1173.688354,-170.643722,0.916249,7500,0.604674,0.000515,300,99.311546,1,1000.000000,25.000000,16.000000,-89.955268,-1173.687988,1
83,7.903681,Series RC,0.292159,,4.52117756896e-07,1,1173.403442,-118.971626,0.292159,7500,0.604496,0.000515,300,151.014083,1,1000.000000,25.000000,16.000000,-89.985733,-1173.403320,1
84,8.004873,Series RC,0.198267,,4.51871901384e-07,1,1174.041748,-158.650970,0.198267,7500,0.604502,0.000515,300,111.339370,1,1000.000000,25.000000,16.000000,-89.990325,-1174.041748,1
85,8.098264,Series RC,0.816164,,4.52111078124e-07,1,1173.420898,-29.745738,0.816164,7500,0.604529,0.000515,300,-119.785591,1,1000.000000,25.000000,16.000000,-89.960144,-1173.420654,1
